Led,React (ms)
1,437
1,471
2,528
2,1139
2,507
3,1397
1,407
3,512
3,816
3,487
2,570
1,519
2,535
3,622
3,599
2,492
3,635
1,477
3,800
2,639
3,611
2,475
1,442
2,485
2,450
3,746
2,519
1,250
2,428
1,421
2,463
2,513
3,550
3,549
3,506
1,479
2,593
2,502
3,887
2,540
2,440
2,316
1,416
1,381
1,332
3,496
2,543
2,537
3,467
2,502
3,476
2,623
3,644
1,429
3,1075
3,743
3,420
2,744
2,557
3,915
2,886
3,731
3,384
1,536
2,493
2,604
2,491
2,488
2,428
3,714
3,461
3,348
3,327
1,511
3,537
2,611
2,599
2,404
3,529
2,383
2,539
3,596
3,589
1,385
2,316
3,403
2,479
2,507
1,541
1,386
1,325
2,724
3,697
2,562
2,767
3,1396
2,570
3,1218
3,709
2,838
1,738
1,624
1,653
2,664
2,544
2,584
1,1350
1,691
3,818
3,655
1,711
1,569
3,725
3,614
1,504
3,998
1,697
2,630
1,699
1,947
2,509
3,537
3,535
3,647
2,871
3,707
2,873
1,626
1,513
1,370
3,628
3,638
2,500
2,398
3,622
2,732
3,655
2,745
1,581
1,806
3,614
3,739
1,1761
1,371
1,326
2,707
1,877
2,655
1,1481
2,1037
3,737
2,1317
1,648
2,672
2,717
1,514
3,1210
